,X,Y,f_H
160,0.06,0.14,0.9839111809354735
161,0.06,0.16,0.9737636364573701
162,0.06,0.18,0.9599250380474209
163,0.06,0.2,0.9426563201097847
164,0.06,0.22,0.9222760894550567
165,0.06,0.24,0.8991458256868194
166,0.06,0.26,0.8736537301376737
167,0.06,0.28,0.846198090429815
168,0.06,0.3,0.8171710422636841
169,0.06,0.32,0.7869435727926359
170,0.06,0.34,0.7558525249903745
171,0.06,0.36,0.7241902367007107
172,0.06,0.38,0.6921972906354201
173,0.06,0.4,0.6600586727939844
174,0.06,0.42,0.6279034474031222
175,0.06,0.44,0.5958078670046556
176,0.06,0.46,0.5638016563679373
177,0.06,0.48,0.5318770467988276
178,0.06,0.5,0.5
179,0.06,0.52,0.46812295320117225
180,0.06,0.54,0.4361983436320627
181,0.06,0.56,0.4041921329953443
182,0.06,0.58,0.37209655259687807
183,0.06,0.6,0.33994132720601555
184,0.06,0.62,0.3078027093645798
185,0.06,0.64,0.2758097632992893
186,0.06,0.66,0.2441474750096254
187,0.06,0.68,0.21305642720736412
188,0.06,0.7000000000000001,0.18282895773631588
189,0.06,0.72,0.15380190957018505
190,0.06,0.74,0.12634626986232633
191,0.06,0.76,0.10085417431318054
192,0.06,0.78,0.07772391054494329
193,0.06,0.8,0.05734367989021527
194,0.06,0.8200000000000001,0.04007496195257902
195,0.06,0.84,0.026236363542630033
196,0.06,0.86,0.016088819064526496
197,0.06,0.88,0.009822942492647242
198,0.06,0.9,0.007549214831452676
199,0.06,0.92,0.009291532184689165
200,0.06,0.9400000000000001,0.0149844483737625
201,0.06,0.96,0.024474235136900776
202,0.06,0.98,0.03752366661879369
203,0.06,1.0,0.05382022787967733
204,0.08,0.0,0.9514168496520102
205,0.08,0.02,0.9679046933513997
206,0.08,0.04,0.9811072937770355
207,0.08,0.06,0.9907084678153107
208,0.08,0.08,0.9964682051498653
209,0.08,0.1,0.9982309731188264
210,0.08,0.12,0.9959305573628511
211,0.08,0.14,0.989591134468477
212,0.08,0.16,0.9793244822214681
213,0.08,0.18,0.9653234519458646
214,0.08,0.2,0.947852040788223
215,0.08,0.22,0.9272325952368957
216,0.08,0.24,0.9038308377967087
217,0.08,0.26,0.8780395263503437
218,0.08,0.28,0.8502616234588609
219,0.08,0.3,0.8208938675527989
220,0.08,0.32,0.7903116002825267
221,0.08,0.34,0.7588556183482046
222,0.08,0.36,0.7268216909369023
223,0.08,0.38,0.6944532246228681
224,0.08,0.4,0.6619373766963548
225,0.08,0.42,0.629404726287723
226,0.08,0.44,0.596932420960261
227,0.08,0.46,0.5645505343806295
228,0.08,0.48,0.5322512066689028
229,0.08,0.5,0.5
230,0.08,0.52,0.46774879333109715
231,0.08,0.54,0.4354494656193704
232,0.08,0.56,0.403067579039739
233,0.08,0.58,0.37059527371227713
234,0.08,0.6,0.3380626233036453
235,0.08,0.62,0.305546775377132
236,0.08,0.64,0.2731783090630977
237,0.08,0.66,0.24114438165179547
238,0.08,0.68,0.20968839971747333
239,0.08,0.7000000000000001,0.17910613244720094
240,0.08,0.72,0.14973837654113914
241,0.08,0.74,0.12196047364965638
242,0.08,0.76,0.09616916220329128
243,0.08,0.78,0.07276740476310431
244,0.08,0.8,0.052147959211776916
245,0.08,0.8200000000000001,0.034676548054135496
246,0.08,0.84,0.020675517778532045
247,0.08,0.86,0.010408865531522949
248,0.08,0.88,0.004069442637149005
249,0.08,0.9,0.0017690268811736327
250,0.08,0.92,0.0035317948501346944
251,0.08,0.9400000000000001,0.009291532184689165
252,0.08,0.96,0.018892706222964448
253,0.08,0.98,0.032095306648600254
