X,Y,f_S_train
0.1,0.9400000000000001,0.0060167204480671135
0.34,0.78,0.5479345545141676
0.04,0.74,0.008869049906011143
0.7000000000000001,0.7000000000000001,0.1123991895644755
1.0,0.1,0.08432687071956149
0.78,0.9,0.4001503654575973
0.58,0.9400000000000001,0.3322840088152086
0.64,0.3,0.0018553417876317577
0.3,0.78,0.3895293565430442
0.02,0.3,0.014435425978047775
0.32,0.72,0.2886735895422098
0.86,1.0,0.09559549880935317
0.38,0.02,0.002498474140238462
0.2,0.48,0.03286457849687183
0.14,0.32,0.007453243033429942
0.44,0.76,0.6195349703065058
0.8200000000000001,0.98,0.196083799296963
0.08,0.8,0.01019226229881411
0.76,0.1,0.03217257931630683
0.26,0.5,0.043006026835133236
0.5,0.1,0.0013380919322216812
0.46,0.4,0.008977005207664233
0.74,0.32,0.008298580872339999
0.36,0.78,0.6227627660535465
0.02,0.58,0.015688176883354128
0.74,0.58,0.031930982676703384
0.32,0.16,0.005173848371358997
0.08,0.3,0.012751325856954149
0.26,0.28,0.005908045663520839
0.34,0.36,0.015762819313787046
0.04,0.86,0.0030480381049028966
0.62,0.46,0.006214212151438464
0.58,0.9,0.369773830500697
0.72,0.5,0.012576223288365728
0.68,0.2,0.004947609968778992
0.68,0.92,0.3293001565870898
0.78,0.64,0.07155516578868665
0.9400000000000001,0.36,0.041952153120430505
0.24,0.28,0.005917652698889862
0.88,0.5,0.02562394032446328
0.9400000000000001,0.1,0.12063935308687225
0.64,0.32,0.0018999323620343992
0.08,0.98,0.0026850562226757523
0.92,0.02,0.07991965682895893
0.38,0.88,0.8847449632342836
0.44,0.9400000000000001,0.8675906869520715
0.9,0.32,0.05287985231804774
0.16,0.88,0.04197380396272247
0.12,0.62,0.03772466929800198
